entity,iso3,file,domain,domain_raw,has_plan,plan,issuing_body,year,year_raw,posture,posture_label
Norway,NOR,32-Norway.md,Quantum information science,Quantum,True,National Quantum Technology Strategy (in development) + 4 national quantum research centres (1.1bn NOK),Min. Education & Research / Defence; Research Council,2025,2025–26,2,active
Norway,NOR,32-Norway.md,Biomedical & biotechnology,Biotechnology,True,National Biotechnology Strategy + Centre for Digital Life Norway,Ministry of Education & Research / Research Council,2016,2011 / 2016–26,3,mature
Norway,NOR,32-Norway.md,Materials & critical minerals,Materials / Minerals,True,Norway's Mineral Strategy + Seabed Minerals Act (licensing round paused Dec 2025),Ministry of Trade & Fisheries / Ministry of Energy,2024,2023 / 2024–25,3,mature
Norway,NOR,32-Norway.md,Semiconductors,Semiconductors,True,EU Chips Act via CC-NorChip,Research Council / EU Chips JU,2024,2024,2,active
Norway,NOR,32-Norway.md,Digital infrastructure,Digital Tech,True,National Digitalisation Strategy 2024–2030,Ministry of Digitalisation and Public Governance,2024,2024,4,frontier
Norway,NOR,32-Norway.md,Autonomous systems,Autonomous Systems,True,Defence Drone Strategy + SFI AutoShip / Yara Birkeland,Ministry of Defence / Research Council,2025,2025,4,frontier
Poland,POL,31-Poland.md,Nuclear energy,Nuclear Energy,True,Polish Nuclear Power Programme (PPEJ),Council of Ministers / Ministry of Industry,2025,2014/2020; 2025 update (consultation),2,active
Poland,POL,31-Poland.md,Artificial intelligence,Artificial Intelligence,True,"Policy for AI Development in Poland from 2020 (+ AI Fund, PL-Guard)",Council of Ministers / Ministry of Digital Affairs,2025,2020; 2024/2025 instruments,3,mature
Poland,POL,31-Poland.md,Quantum information science,Quantum,True,"""Poland in the Quantum Era"" (policy assumptions)",Ministry of Digital Affairs,2025,2024/2025,2,active
Poland,POL,31-Poland.md,Biomedical & biotechnology,Biotechnology,True,Government Plan for Biomedical Sector Development 2022–2031,Council of Ministers / MoH / Medical Research Agency (ABM),2022,2022,2,active
Poland,POL,31-Poland.md,Materials & critical minerals,Materials / Minerals,True,State Raw Materials Policy (PSP2050),Council of Ministers / Ministry of Climate / PIG,2022,2022,2,active
Poland,POL,31-Poland.md,Semiconductors,Semiconductors,True,"""Poland in the Game for the Future"" — Semiconductor Policy 2026+",Ministry of Digital Affairs,2026,"2026 (consultation, pre-adoption)",1,nascent
Poland,POL,31-Poland.md,Digital infrastructure,Digital Tech,True,National Broadband Plan (NPS),Council of Ministers / Ministry of Digital Affairs,2030,2014/2020; 2026–2030 update (consultation),2,active
Poland,POL,31-Poland.md,Autonomous systems,Autonomous Systems,True,White Paper on the UAV Market (U-space) + ULC Guidelines No. 7/2025,Ministry of Infrastructure / Civil Aviation Authority (ULC) / PIE,2025,2019; 2025,3,mature
Ukraine,UKR,43-Ukraine.md,Nuclear energy,Nuclear Energy,True,Energy Strategy of Ukraine until 2050 (+ Energoatom–Westinghouse AP1000s; Khmelnytskyi design complete),Ministry of Energy / Energoatom,2026,2023/2026,3,mature
Ukraine,UKR,43-Ukraine.md,Artificial intelligence,Artificial Intelligence,True,AI Regulation Roadmap + White Paper + Concept Action Plan 2025–2026 (bottom-up),Ministry of Digital Transformation,2025,2023/2024/2025,3,mature
Ukraine,UKR,43-Ukraine.md,Quantum information science,Quantum,True,WINWIN 2030 (broad) + NATO SPS quantum projects,MDT / Min. Education & Science / NATO SPS,2024,2024,1,nascent
Ukraine,UKR,43-Ukraine.md,Biomedical & biotechnology,Biotechnology,True,WINWIN MedTech & BioTech Sectoral Strategies,Ministry of Digital Transformation,2024,2024/25,2,active
Ukraine,UKR,43-Ukraine.md,Materials & critical minerals,Materials / Critical Minerals,True,Strategy for Critical Raw Materials Industries to 2056 + Resolution No. 845 strategic-minerals lists + US–Ukraine Reconstruction Investment Fund,Cabinet of Ministers / Min. Economy / Min. Environment,2026,2025/2026,3,mature
Ukraine,UKR,43-Ukraine.md,Semiconductors,Semiconductors,True,Microelectronics Development Strategy + Chip Act UA (MDT mandate expanded),MDT / Cabinet of Ministers,2025,2023/2024/2025,2,active
Ukraine,UKR,43-Ukraine.md,Digital infrastructure,Digital Tech,True,"Diia ecosystem + Diia City + WINWIN 2030 + Diia.AI (""Agentic State"")",Ministry of Digital Transformation,2025,2020/2025,4,frontier
Ukraine,UKR,43-Ukraine.md,Autonomous systems,Autonomous Systems,True,"WINWIN DefenseTech + Brave1 + ""Drone Line"" program",MDT / Min. Defense / Brave1,2025,2023/2024/2025,4,frontier
European Union,EUU,21-European-Union.md,Nuclear energy,Nuclear Energy,True,EU Strategy for SMRs & AMRs (COM/2026/117) + SMR Alliance Strategic Action Plan,European Commission,2026,2026,3,mature
European Union,EUU,21-European-Union.md,Artificial intelligence,Artificial Intelligence,True,AI Continent Action Plan + Apply AI Strategy (atop AI Act 2024),European Commission,2025,2025,4,frontier
European Union,EUU,21-European-Union.md,Quantum information science,Quantum,True,Quantum Europe Strategy,European Commission,2025,2025,4,frontier
European Union,EUU,21-European-Union.md,Biomedical & biotechnology,Biotechnology,True,European Biotech Act (proposal) + Life Sciences Strategy,European Commission,2025,2025/26,3,mature
European Union,EUU,21-European-Union.md,Materials & critical minerals,Materials,True,CRMA first Strategic Projects lists + Advanced Materials Act (in preparation),European Commission,2025,2025,3,mature
European Union,EUU,21-European-Union.md,Semiconductors,Semiconductors,True,Chips Act 2.0 (proposal),European Commission,2026,2026,3,mature
European Union,EUU,21-European-Union.md,Digital infrastructure,Digital Tech,True,Digital Networks Act (proposal),European Commission,2026,2026,4,frontier
European Union,EUU,21-European-Union.md,Autonomous systems,Autonomous Systems,True,EU Action Plan on Drone & Counter-Drone Security,European Commission,2026,2026,3,mature
Israel,ISR,23-Israel.md,Nuclear energy,Nuclear Energy,False,Nuclear ambiguity (no civil power plan),PMO / Israel Atomic Energy Commission,1952,1952+,0,absent
Israel,ISR,23-Israel.md,Artificial intelligence,Artificial Intelligence,True,National Artificial Intelligence Program (Phase II acceleration),National AI Directorate (PMO) / TELEM / IIA / MOST,2026,2021 / 2024 / 2026,4,frontier
Israel,ISR,23-Israel.md,Quantum information science,Quantum,True,National Quantum Initiative + Quantum Computing Center,"TELEM (MAFAT, IIA, PBC, Finance)",2022,2019 / 2022,3,mature
Israel,ISR,23-Israel.md,Biomedical & biotechnology,Biotechnology,True,National Bio-Convergence Program,TELEM / IIA / MOST / Health,2021,2021/22,4,frontier
Israel,ISR,23-Israel.md,Materials & critical minerals,Materials Science,True,Advanced Manufacturing Plan + Metamaterials consortium,Ministry of Economy / IIA,2023,2018 / 2023–25,2,active
Israel,ISR,23-Israel.md,Semiconductors,Semiconductors,True,Law for the Encouragement of Capital Investments + IIA consortiums + Integrated Photonics pilot-line initiative,Ministry of Economy / IIA / DDR&D / Finance,2026,1959 (reforms ongoing); Photonics 2026,4,frontier
Israel,ISR,23-Israel.md,Digital infrastructure,Digital Tech,True,National Digital Israel Program,Digital Israel Bureau / ICT Authority,2017,2013 / 2017,3,mature
Israel,ISR,23-Israel.md,Autonomous systems,Autonomous Systems,True,Israel National Drone Initiative (INDI; Phase 3 / INDI3),IIA / Ministry of Transport / CAAI,2026,2019 / 2023–26 (INDI3 2026),3,mature
United Arab Emirates,ARE,25-UAE.md,Nuclear energy,Nuclear Energy,True,UAE Peaceful Nuclear Energy Policy (Barakah) + ENEC ADVANCE Programme (SMRs/advanced reactors),Federal Govt / ENEC / FANR,2025,2008; ADVANCE 2025–26,3,mature
United Arab Emirates,ARE,25-UAE.md,Artificial intelligence,Artificial Intelligence,True,National Strategy for AI 2031 + US–UAE AI Acceleration Partnership / Regulatory Intelligence Office,Ministry of State for AI / AIATC / Cabinet,2025,2017 / 2025,4,frontier
United Arab Emirates,ARE,25-UAE.md,Quantum information science,Quantum,True,National Encryption Policy + National Post-Quantum Migration Programme,Cybersecurity Council / ATRC (QuantumGate) / TII,2024,2024–26,3,mature
United Arab Emirates,ARE,25-UAE.md,Biomedical & biotechnology,Biotechnology,True,National Genome Strategy / Emirati Genome Program,Emirates Genome Council / DoH,2023,2023,3,mature
United Arab Emirates,ARE,25-UAE.md,Materials & critical minerals,Materials Science,True,Operation 300bn (National Industry & Advanced Tech) + US–UAE Critical Minerals & Rare Earths Framework,MoIAT / Ministry of Investment,2026,2021 / 2026,2,active
United Arab Emirates,ARE,25-UAE.md,Semiconductors,Semiconductors,True,MGX Investment Strategy (within AIATC) + Tawazun chiplet ecosystem,AIATC / MGX / MoIAT / Tawazun,2026,2024 / 2026,3,mature
United Arab Emirates,ARE,25-UAE.md,Digital infrastructure,Digital Tech,True,We the UAE 2031 (Digital Economy Strategy) + UAE–US 5GW AI Campus / Stargate UAE,UAE Cabinet / G42 / AIATC,2025,2022 / 2025,4,frontier
United Arab Emirates,ARE,25-UAE.md,Autonomous systems,Autonomous Systems,True,Dubai Smart Self-Driving Transport Strategy (multi-vendor robotaxi; Law 9/2023),Dubai RTA / DFF,2026,2016 / 2023 / 2026,3,mature
Saudi Arabia,SAU,26-Saudi-Arabia.md,Nuclear energy,Nuclear Energy,True,SNAEP + US–Saudi Civil Nuclear (123) Joint Declaration,K.A.CARE / Min. of Energy / US,2025,2017 / 2025,2,active
Saudi Arabia,SAU,26-Saudi-Arabia.md,Artificial intelligence,Artificial Intelligence,True,"NSDAI + Project Transcendence/HUMAIN + AI Adoption Framework; ""Year of AI""",SDAIA / PIF,2025,2020 / 2024 / 2025–26,4,frontier
Saudi Arabia,SAU,26-Saudi-Arabia.md,Quantum information science,Quantum,True,WEF Quantum Economy Blueprint pilot + National Quantum Alliance,C4IR / WEF / RDIA / Aramco,2026,2025 / 2026,2,active
Saudi Arabia,SAU,26-Saudi-Arabia.md,Biomedical & biotechnology,Biotechnology,True,National Biotechnology Strategy,Crown Prince / MoH / SFDA,2024,2024,3,mature
Saudi Arabia,SAU,26-Saudi-Arabia.md,Materials & critical minerals,Materials / Mining,True,National Industrial Strategy + National Minerals Program + US–Saudi Critical Minerals Framework,MoIMR / Ma'aden / PIF (Manara),2025,2022 / 2025–26,3,mature
Saudi Arabia,SAU,26-Saudi-Arabia.md,Semiconductors,Semiconductors,True,"National Semiconductor Hub (Alat exits chip fabrication, Apr 2026)",RDIA / KACST / PIF (Alat),2026,2024 / 2026,2,active
Saudi Arabia,SAU,26-Saudi-Arabia.md,Digital infrastructure,Digital Tech,True,Digital Economy Policy + Digital Government Strategy (Hexagon data center),MCIT / DGA / SDAIA,2026,2020 / 2023 / 2026,4,frontier
Saudi Arabia,SAU,26-Saudi-Arabia.md,Autonomous systems,Autonomous Systems,True,GACA Advanced Air Mobility Roadmap (+ NEOM testbeds),GACA / NEOM / MoT,2024,2024,2,active
Qatar,QAT,42-Qatar.md,Nuclear energy,Nuclear Energy,True,Radiation Protection Law 31/2002 + Nuclear Material Law 3/2018 (no power),MoECC – Dept of Radiation Protection,2018,2002/2018,0,absent
Qatar,QAT,42-Qatar.md,Artificial intelligence,Artificial Intelligence,True,National AI Strategy (2019) + National AI Policy (consultation closed Jan 2026) + Fanar LLM,MCIT / AI Committee / QCRI,2025,2019 / 2025–26,3,mature
Qatar,QAT,42-Qatar.md,Quantum information science,Quantum,True,Quantum program via QC2 + national QKD testbed,QC2 (HBKU) / Ooredoo / MoD,2026,ongoing / 2026,2,active
Qatar,QAT,42-Qatar.md,Biomedical & biotechnology,Biotechnology,True,Qatar Genome Programme + Qatar Precision Health Institute,Qatar Foundation / QPHI / QBB,2015,2015,3,mature
Qatar,QAT,42-Qatar.md,Materials & critical minerals,Materials / Minerals,True,NDS3 Manufacturing Cluster + Helium (Ras Laffan),National Planning Council / QatarEnergy,2024,2024,3,mature
Qatar,QAT,42-Qatar.md,Semiconductors,Semiconductors,True,QRDI 2030 + IMEC Qatar R&D Hub,QRDI Council / Invest Qatar,2025,2025/26,2,active
Qatar,QAT,42-Qatar.md,Digital infrastructure,Digital Tech,True,Digital Agenda 2030 + TASMU Smart Qatar,Ministry of Communications & IT (MCIT),2024,2024,3,mature
Qatar,QAT,42-Qatar.md,Autonomous systems,Autonomous Systems,True,Autonomous Vehicles Strategy + draft UAV Law (2026) + QCAA drone regs,Ministry of Transport / Ministry of Interior / QCAA,2026,2023 / 2026,2,active
Oman,OMN,44-Oman.md,Nuclear energy,Nuclear Energy,True,Radiation Protection Regulation (Res. 79/2023) — no power,Environment Authority,2023,2023,0,absent
Oman,OMN,44-Oman.md,Artificial intelligence,Artificial Intelligence,True,National Programme for AI & Advanced Digital Technologies + Ma'een LLM + Oman AI Zone,MTCIT,2026,2024 / 2026,3,mature
Oman,OMN,44-Oman.md,Quantum information science,Quantum,True,Within National AI Programme / 2026–2030 Digital Roadmap,MTCIT,2026,2024/2026,1,nascent
Oman,OMN,44-Oman.md,Biomedical & biotechnology,Biotechnology,True,"National Biotechnology Strategy (red/green/white, in dev) + Health Vision 2050",RIA / MoHERI / Ministry of Health,2025,2014 / 2025–26,2,active
Oman,OMN,44-Oman.md,Materials & critical minerals,Materials / Minerals,True,Mineral Wealth Law (RD 19/2019) + Green Hydrogen Strategy,Ministry of Energy & Minerals / Hydrom,2022,2019 / 2022,3,mature
Oman,OMN,44-Oman.md,Semiconductors,Semiconductors,True,National Semiconductor Ecosystem Strategy (launched) + OSAT framework + ITHCA,MTCIT / OIA (ITHCA),2026,2026,2,active
Oman,OMN,44-Oman.md,Digital infrastructure,Digital Tech,True,National Digital Economy Programme (NDEP) 2026–2030 + Tahawul + Cloud/Data-Centre Regulation,MTCIT / TRA,2026,2021 / 2026,3,mature
Oman,OMN,44-Oman.md,Autonomous systems,Autonomous Systems,True,"Exec. Regulation 1412/2023 + CAR 102; ""Serb"" UTM; Advanced Air Mobility Charter",Civil Aviation Authority,2026,2023/2024 / 2026,2,active
Türkiye,TUR,29-Turkey.md,Nuclear energy,Nuclear Energy,True,National Energy Plan 2020–2035 (Akkuyu),Ministry of Energy & Natural Resources,2022,2022,3,mature
Türkiye,TUR,29-Turkey.md,Artificial intelligence,Artificial Intelligence,True,National AI Strategy 2021–2025 (+ 2024–25 Action Plan),Ministry of Industry & Tech / Digital Transformation Office,2024,2021/2024,3,mature
Türkiye,TUR,29-Turkey.md,Quantum information science,Quantum,True,2030 Industry & Technology Strategy (National Quantum Institute),Ministry of Industry & Tech / TÜBİTAK,2025,2025,2,active
Türkiye,TUR,29-Turkey.md,Biomedical & biotechnology,Biotechnology,True,National Biotechnology Strategy 2023–2028 + Health Roadmap,Presidency / MoIT / TÜSEB,2023,2022/2023,3,mature
Türkiye,TUR,29-Turkey.md,Materials & critical minerals,Materials / Rare Earths,True,Critical Raw Materials Strategy + Beylikova REE program (Eti Maden),Ministry of Energy / Eti Maden / TENMAK,2026,2026,3,mature
Türkiye,TUR,29-Turkey.md,Semiconductors,Semiconductors,True,HIT-30 Semiconductor Call (HIT-Çip),Ministry of Industry & Technology,2024,2024,2,active
Türkiye,TUR,29-Turkey.md,Digital infrastructure,Digital Tech,True,12th Development Plan + National Broadband Strategy + 5G Authorization Tender,Presidency of Strategy & Budget / Transport Ministry / BTK,2025,2023/2025,2,active
Türkiye,TUR,29-Turkey.md,Autonomous systems,Autonomous Systems,True,Mobility Roadmap (TOGG) + SSB Defense Strategic Plan 2024–28,MoIT / Defense Industry Agency (SSB),2024,2022/2024,4,frontier
Egypt,EGY,34-Egypt.md,Nuclear energy,Nuclear Energy,True,El Dabaa Nuclear Power Plant (Vision 2030 energy mix),Nuclear Power Plants Authority (NPPA),2026,2017 (fuel order 2025; Unit 1 commercial 2026),3,mature
Egypt,EGY,34-Egypt.md,Artificial intelligence,Artificial Intelligence,True,National AI Strategy — 2nd Edition (2025–2030) + National Guidelines for Trustworthy & Responsible AI,MCIT / National Council for AI,2026,2025 (guidelines 2026),3,mature
Egypt,EGY,34-Egypt.md,Quantum information science,Quantum,True,National Quantum Computing Strategy (pillars unveiled),"MCIT / National Council for AI, Quantum Computing & Emerging Technologies",2026,2026,2,active
Egypt,EGY,34-Egypt.md,Biomedical & biotechnology,Biotechnology,True,Egyptian Reference Genome Project (Phase 1 results),Ministry of Higher Education & Scientific Research / ECRRM,2026,2021/22 (results 2026),3,mature
Egypt,EGY,34-Egypt.md,Materials & critical minerals,Materials / Minerals,True,Mining Sector Expansion Strategy 2024–2030 (Executive Regulations amended),Ministry of Petroleum & Mineral Resources / EMRA,2026,2024 (amended 2026),2,active
Egypt,EGY,34-Egypt.md,Semiconductors,Semiconductors,True,Egypt Makes Electronics (EME) — Export Development Programme,MCIT / ITIDA,2026,2015 (export track 2026),2,active
Egypt,EGY,34-Egypt.md,Digital infrastructure,Digital Tech,True,Digital Egypt / ICT Strategy 2030,MCIT / NTRA,2026,2017 (5G spectrum 2026),3,mature
Egypt,EGY,34-Egypt.md,Autonomous systems,Autonomous Systems,True,Law No. 216 of 2017 (drone regulation); defense co-production & civil monitoring,Ministry of Defense / ECAA,2026,2017 (2026 programs),3,mature
South Africa,ZAF,28-South-Africa.md,Nuclear energy,Nuclear Energy,True,"Integrated Resource Plan 2025 (IRP 2025, gazetted)",Department of Electricity and Energy,2025,2025,3,mature
South Africa,ZAF,28-South-Africa.md,Artificial intelligence,Artificial Intelligence,True,National AI Policy Framework (2024),DCDT,2024,2024,2,active
South Africa,ZAF,28-South-Africa.md,Quantum information science,Quantum,True,South African Quantum Technology Initiative (SA QuTI),DSI,2021,2021,2,active
South Africa,ZAF,28-South-Africa.md,Biomedical & biotechnology,Biotechnology,True,Bio-economy Strategy,DSI,2013,2013,3,mature
South Africa,ZAF,28-South-Africa.md,Materials & critical minerals,Materials / Minerals,True,Critical Minerals and Metals Strategy,DMPR / DSI,2025,2025,3,mature
South Africa,ZAF,28-South-Africa.md,Semiconductors,Semiconductors,True,Within Decadal Plan + Digital Economy Masterplan,DSI / DCDT (CSIR),2021,2021/22,1,nascent
South Africa,ZAF,28-South-Africa.md,Digital infrastructure,Digital Tech,True,SA Connect Phase 2 + Digital Economy Masterplan,DCDT,2022,2013/2022,2,active
South Africa,ZAF,28-South-Africa.md,Autonomous systems,Autonomous Systems,True,CAR Part 101 (drones) + Draft Airfreight Strategy 2025,SACAA / Dept of Transport,2025,2015 / 2025,2,active
Brazil,BRA,27-Brazil.md,Nuclear energy,Nuclear Energy,True,Brazilian Nuclear Policy / Program (PNB),Presidency / MME / MCTI / CNEN,2018,2018,2,active
Brazil,BRA,27-Brazil.md,Artificial intelligence,Artificial Intelligence,True,"PBIA 2024–2028 (""IA para o Bem de Todos"")",MCTI,2024,2024,3,mature
Brazil,BRA,27-Brazil.md,Quantum information science,Quantum,True,IBQuântica (Iniciativa Brasileira para Tecnologias Quânticas),MCTI / Finep,2024,2024,2,active
Brazil,BRA,27-Brazil.md,Biomedical & biotechnology,Biotechnology,True,"Genomas Brasil (+ NIB Mission 2, Health Complex)",Ministry of Health / MCTI,2023,2020/2023,3,mature
Brazil,BRA,27-Brazil.md,Materials & critical minerals,Materials / Minerals,True,National Policy for Strategic Minerals → PNMCE (Critical & Strategic Minerals),MME / PPI / Congress,2026,2021 / 2026 (PL 2.780/2024),3,mature
Brazil,BRA,27-Brazil.md,Semiconductors,Semiconductors,True,Programa Brasil Semicondutores (Brasil Semicon) + modernized PADIS,MDIC / MCTI,2024,2024 (Lei 14.968/2024),2,active
Brazil,BRA,27-Brazil.md,Digital infrastructure,Digital Tech,True,E-Digital (Brazilian Strategy for Digital Transformation),MCTI / Casa Civil,2031,2018 (rev. 2022; new 2026–2031 cycle),3,mature
Brazil,BRA,27-Brazil.md,Autonomous systems,Autonomous Systems,True,Programa Mover (Green Mobility and Innovation),MDIC,2024,2024,2,active
Argentina,ARG,35-Argentina.md,Nuclear energy,Nuclear Energy,True,Plan Nuclear Argentino (2024/2025),Sec. de Asuntos Nucleares / CNEA / NA-SA,2024,2024,2,active
Argentina,ARG,35-Argentina.md,Artificial intelligence,Artificial Intelligence,True,"Recomendaciones para una IA Fiable (Disp. 2/2023) + AAIP Guide; ""Stargate Argentina"" AI-infrastructure hub (RIGI)",Jefatura de Gabinete / AAIP / Presidencia,2025,2023/2024; 2025,3,mature
Argentina,ARG,35-Argentina.md,Quantum information science,Quantum,True,Programa Interinstitucional de Ciencias y Tecnologías Cuánticas (PNCTI 2030),"Sec. de Innovación, Ciencia y Tecnología / CONICET",2025,2023–2025,2,active
Argentina,ARG,35-Argentina.md,Biomedical & biotechnology,Biotechnology,True,Ley 27685 (Biotecnología Moderna y Nanotecnología),Congreso de la Nación,2022,2022,3,mature
Argentina,ARG,35-Argentina.md,Materials & critical minerals,Materials / Critical Minerals,True,RIGI (Ley 27742) + Mesa Nacional del Litio,Congreso / Min. Economía / Provincias,2024,2024,3,mature
Argentina,ARG,35-Argentina.md,Semiconductors,Semiconductors,True,Súper RIGI + Programa Nacional de Diseño de Semiconductores (CENDIA),Poder Ejecutivo / Congreso,2026,2026 (proposed),1,nascent
Argentina,ARG,35-Argentina.md,Digital infrastructure,Digital Tech,True,Agenda Digital Argentina 2030 (Decreto 996/2018),Jefatura de Gabinete / ARSAT,2018,2018,3,mature
Argentina,ARG,35-Argentina.md,Autonomous systems,Autonomous Systems,True,Reglamento para la Aviación Civil No Tripulada (Decreto 663/2024),ANAC,2025,2024/2025,2,active
Chile,CHL,41-Chile.md,Nuclear energy,Nuclear Energy,True,CCHEN Strategic Plan + CCHEN 360° (no power plants),Comisión Chilena de Energía Nuclear / Min. Energía,2024,2017 / 2024–25,1,nascent
Chile,CHL,41-Chile.md,Artificial intelligence,Artificial Intelligence,True,"Política Nacional de IA (updated, Decreto N°12) + AI Bill (pending in Senate) + Latam-GPT",MinCiencia,2025,2021 / 2025–26,3,mature
Chile,CHL,41-Chile.md,Quantum information science,Quantum,True,Estrategia Nacional de Tecnologías Cuánticas 2025–2035,MinCiencia / ANID,2025,2025,2,active
Chile,CHL,41-Chile.md,Biomedical & biotechnology,Biotechnology,True,Estrategia Nacional de Biotecnología 2025–2035,MinCiencia,2025,2025,2,active
Chile,CHL,41-Chile.md,Materials & critical minerals,Materials / Critical Minerals,True,Estrategia Nacional del Litio + Codelco–SQM JV (constituted) + ILiSa institute,Min. Minería / Codelco / Corfo,2025,2023 / 2025–26,4,frontier
Chile,CHL,41-Chile.md,Semiconductors,Semiconductors,False,*Explicitly absent*,—,,—,0,absent
Chile,CHL,41-Chile.md,Digital infrastructure,Digital Tech,True,PDATA 2024–2030 + SEA data-center environmental criterion,MinCiencia / SEA,2026,2024 / 2026,3,mature
Chile,CHL,41-Chile.md,Autonomous systems,Autonomous Systems,True,DAN 151 / DAN 91 (drones) + State Astronomy Policy,DGAC / MinCiencia,2024,2024,2,active
